leaf_slug,department_slug,leaf_status,legacy_category,provider_name,address,phone,website,source_url,notes
junk-removal-and-hauling,home-and-property-services,existing-pending,home_services,Call Us Junk Hauling,"790 N Lake Havasu Ave, Lake Havasu City, AZ 86403",(928) 412-1599,https://www.callusjunkhauling.com/,https://www.yelp.com/biz/call-us-junk-hauling-lake-havasu-city,Full address + phone confirmed
junk-removal-and-hauling,home-and-property-services,existing-pending,home_services,JD'S Junk Removal,"Lake Havasu City, AZ",(928) 846-7442,https://www.facebook.com/jdsjunkremovalhavasu/,https://www.facebook.com/jdsjunkremovalhavasu/,Phone from FB; verify address at approval
junk-removal-and-hauling,home-and-property-services,existing-pending,home_services,AAA Rousse Junk Removal,"Lake Havasu City, AZ",(928) 888-0985,https://www.aaarousse.com/Junk_Removal_Lake_Havasu_City_Arizona.html,https://www.aaarousse.com/Junk_Removal_Lake_Havasu_City_Arizona.html,Estate cleanouts/junk; operating since 2006
junk-removal-and-hauling,home-and-property-services,existing-pending,home_services,LHC Cleanup Services (Get It Done),"Lake Havasu City, AZ",,https://lhccleanupservices.com/,https://lhccleanupservices.com/,Cleanup/skid-steer; verify phone at approval
property-management,professional-and-financial,existing-pending,professional_services,"Lake Havasu Property Management, LLC","1690 McCulloch Blvd Ste 102, Lake Havasu City, AZ 86403",(928) 854-7210,https://www.havasurentalhome.com/,https://www.havasurentalhome.com/,Full address + phone confirmed
property-management,professional-and-financial,existing-pending,professional_services,Lake Havasu Property Management,"Lake Havasu City, AZ",,https://lakehavasupropertymanagement.com/,https://lakehavasupropertymanagement.com/,Long-term rental management
property-management,professional-and-financial,existing-pending,professional_services,HomeRiver Group Lake Havasu,"Lake Havasu City, AZ",,https://www.homeriver.com/arizona/lake-havasu-property-management,https://www.homeriver.com/arizona/lake-havasu-property-management,National brand w/ local office
property-management,professional-and-financial,existing-pending,professional_services,Arizona Living Rentals & Property Management,"Lake Havasu City, AZ",,https://www.azlivingrentals.com/,https://www.azlivingrentals.com/,
property-management,professional-and-financial,existing-pending,professional_services,Havasu Realty Property Management,"Lake Havasu City, AZ",,https://www.havasurealty.net/owner,https://www.havasurealty.net/owner,15+ yrs; long-term rentals
property-management,professional-and-financial,existing-pending,professional_services,PMI Lake Havasu,"Lake Havasu City, AZ",,https://www.lakehavasuvacationmanagement.com/,https://www.lakehavasuvacationmanagement.com/,Residential + short-term
property-management,professional-and-financial,existing-pending,professional_services,UNlimited RE Property Management,"Lake Havasu City, AZ",,https://unlimitedreaz.com/lake-havasu-city/,https://unlimitedreaz.com/lake-havasu-city/,Management-only (no sales)
laundry-and-dry-cleaning,professional-and-financial,existing-pending,professional_services,Modern Laundromat,"491 N Lake Havasu Ave, Lake Havasu City, AZ 86403",(928) 733-5003,,https://www.mohavelocal.com/biz/9781/modern-laundromat,Drop-off + fluff & fold
laundry-and-dry-cleaning,professional-and-financial,existing-pending,professional_services,Perfectly Pressed Cleaners (Modern Dry Cleaners),"2231 McCulloch Blvd N #112, Lake Havasu City, AZ",(928) 854-7161,,https://www.facebook.com/p/Perfectly-Pressed-Cleaners-LLC-DBA-Modern-Dry-Cleaners-61575179173457/,Dry cleaning + laundromat
laundry-and-dry-cleaning,professional-and-financial,existing-pending,professional_services,Super Ramos Suds Laundry,"Lake Havasu City, AZ",(702) 348-5446,https://www.superramossudslaundry.com/lake-havasu-az/,https://www.superramossudslaundry.com/lake-havasu-az/dry-cleaning,Laundry + dry cleaning; verify local phone
auto-glass,auto-rv-and-marine,existing-pending,auto,Advantage Windshield & Glass,"501 Lake Havasu Ave N Ste 104, Lake Havasu City, AZ 86403",(928) 855-7004,https://advantagewindshieldglass.com/,https://advantagewindshieldglass.com/,Family-run since 1994; mobile service
auto-glass,auto-rv-and-marine,existing-pending,auto,Glass Doctor of Lake Havasu City,"2100 College Dr #128, Lake Havasu City, AZ 86403",,https://glassdoctor.com/lake-havasu-city,https://glassdoctor.com/lake-havasu-city,Franchise w/ local branch (auto + home)
auto-glass,auto-rv-and-marine,existing-pending,auto,A & E Auto Glass,"Lake Havasu City, AZ",(480) 568-3840,https://a-eautoglass.com/lake-havasu-city/,https://a-eautoglass.com/lake-havasu-city/,Family owned since 2000
auto-glass,auto-rv-and-marine,existing-pending,auto,Jim's House of Glass,"Lake Havasu City, AZ",(928) 757-1171,https://jimshouseofglass.com/,https://jimshouseofglass.com/window-glass-company/lake-havasu-city-az/,Auto + window/glass
auto-glass,auto-rv-and-marine,existing-pending,auto,SafePro Auto Glass,"Lake Havasu City, AZ",(928) 800-0000,https://safeproautoglass.com/lake-havasu-city,https://safeproautoglass.com/lake-havasu-city,Family owned; open ~362 days/yr
auto-glass,auto-rv-and-marine,existing-pending,auto,Safelite AutoGlass,"Acoma Blvd W, Lake Havasu City, AZ",,https://www.safelite.com/stores/lake-havasu,https://www.safelite.com/stores/lake-havasu,National chain w/ local store (optional)
painting,home-and-property-services,new,home_services,Pro Power Painting and Restoration LLC,"Lake Havasu City, AZ",,https://propowerpainting.com/,https://propowerpainting.com/,Painting + decorative concrete
painting,home-and-property-services,new,home_services,Murrayhill Painting LLC,"Lake Havasu City, AZ",,https://murrayhillpainting.com/,https://murrayhillpainting.com/,Interior/exterior; LHC-exclusive
painting,home-and-property-services,new,home_services,Authentic Painting & Coatings Inc (APC),"Lake Havasu City, AZ 86403",,,https://www.yellowpages.com/lake-havasu-city-az/painting-contractors,Painting/drywall/epoxy floors
painting,home-and-property-services,new,home_services,K.W. Smith & Sons Painting,"Lake Havasu City, AZ",,,https://www.yellowpages.com/lake-havasu-city-az/painting-contractors,Verify contact at approval
painting,home-and-property-services,new,home_services,Havasu Painting & Specialties,"Lake Havasu City, AZ",(928) 764-3509,,https://www.yellowpages.com/lake-havasu-city-az/painting-contractors,
painting,home-and-property-services,new,home_services,B & A Painting & Drywall,"Lake Havasu City, AZ",(928) 855-8769,,https://www.yellowpages.com/lake-havasu-city-az/painting-contractors,
painting,home-and-property-services,new,home_services,Bartlett Painting,"Lake Havasu City, AZ",(928) 854-9000,,https://www.yellowpages.com/lake-havasu-city-az/painting-contractors,
locksmiths,home-and-property-services,new,home_services,Havasu Lock & Key Service,"Lake Havasu City, AZ",(928) 453-3143,https://www.locksmithlakehavasucity.com/,https://www.yelp.com/biz/havasu-lock-and-key-service-lake-havasu-city,Mobile locksmith; auto/commercial
locksmiths,home-and-property-services,new,home_services,Western Safe & Lock,"420 London Bridge Rd, Lake Havasu City, AZ 86403",(928) 855-3259,,https://www.yelp.com/biz/western-safe-and-lock-lake-havasu-city,Full address; safes + locks
locksmiths,home-and-property-services,new,home_services,Taylor & Son's Locksmiths,"3395 Winston Dr, Lake Havasu City, AZ 86406",(928) 505-5625,,https://www.yellowpages.com/lake-havasu-city-az/mip/taylor-sons-locksmiths-511235669,24/7 emergency lockouts
locksmiths,home-and-property-services,new,home_services,Lock & Key Rescue,"Lake Havasu City, AZ",(928) 230-0488,https://www.facebook.com/LockKeyRescueLakeHavasu/,https://www.facebook.com/LockKeyRescueLakeHavasu/,Mobile; always open
