entity_id,provider_name,google_primary_category,current_leaf_slug,proposed_leaf,proposer,bucket,cause,twin_of,dept_hint
93eaa280-0ed1-4ee8-8bc8-d3cc5ea2034d,5 Dollar Holler,,,,,A,a,,
526ef6f6-fe89-4d40-bb20-1c40025b77c2,A & E Auto Glass,,,auto-glass,name_rule_mono,A,a,,
0554ecfd-1a9f-4afc-871d-749fa5613f0b,AAA Rousse Junk Removal,,,junk-removal-and-hauling,name_rule_mono,A,a,,
e4b85b2f-2024-4fff-9e67-5b0f1b6f6d77,Accounting Angels,consultant,,,,A,a,,professional-services
5ab7d105-2d8c-4e50-af3b-49466214d7c7,Advanced Animal Care,,,,,A,a,,pets
841508dc-e059-411a-b1bd-745eec75d11c,Advantage Windshield & Glass,,,auto-glass,name_rule_mono,A,a,,
d4c20d69-6c05-435c-9391-ae83f4902544,All In 1 Services,,,,,A,a,,home-property-services
c22b3af2-30fa-4179-b11b-aba70db25db9,Alpine Plumbing & Air,,,,,A,a,,home-property-services
ef0a432e-a06c-49a1-ad67-1d464de29f4e,Apollo PowerScreens,,,,,A,a,,home-property-services
6b1aa622-ccc0-44f3-b278-ba47974efb89,Arizona Awning & Shade LLC,,,shade-screens-and-patio-covers,name_rule_mono,A,a,,
9fea5d48-ca34-4a48-8a1b-b6507877df11,Arizona Coast Ear Nose & Throat (Audiology),,,hearing-and-audiology,name_rule_mono,A,a,,
191939b9-4281-44d8-9cc7-051d1cf38db7,Arizona Living Rentals & Property Management,,,property-management,name_rule_mono,A,a,,
c87460c3-da16-4e44-a1b1-c6d4e7146d5e,Arizona MVD - Lake Havasu City,,,,,A,a,,public-civic-resources
04ae46cd-38fa-421f-a99c-8fabbe0bb68a,AZ Toy Brokers - Lake Havasu,,,,,A,a,,auto-rv-fuel
1010ae16-3be5-4f73-b6ac-4646a0d56fbe,Barnacle Bills Boat Repairs,,,,,A,a,,on-the-water
77856e81-7424-4776-ab6f-258fe729f27f,Bri & Co. Hair Studio,,,,,A,a,,health-wellness-care
20e03483-473c-40e2-ab51-9b37afc7dfcb,California Dermatology Institute,doctor,,primary-care,google_primary_type,A,a,,
2e2d2eaa-6a14-4654-bbef-7dae6ecdb976,Call Us Junk Hauling,,,junk-removal-and-hauling,name_rule_mono,A,a,,
1a5a5779-52c6-4270-ab4f-061223ebbd6f,CELIE.CO,manufacturer,,,,A,a,,auto-rv-fuel
44c91ccf-454e-4386-b2fd-2c309a98f884,Complete Acctg and Tax,finance,,,,A,a,,professional-services
19d09ecb-d537-4d4b-b8ed-433a53496eb5,Copper Canyon Realty,,,,,A,a,,professional-services
f6f83eac-f400-4575-b2f1-4231574efe56,Desert Hawks RC Club,,,,,A,a,,outdoors-parks-trails
9e1e25a6-2c61-470e-a485-5853c69d3bfc,Full Arch Dental Implant Center,health,,,,A,a,,health-wellness-care
22cb223f-02e7-495c-aca9-9bfbd554ad5e,Glass Doctor of Lake Havasu City,,,,,A,a,,auto-rv-fuel
ea57eb64-1757-4efc-9610-8919531c1026,Go Lake Havasu (CVB),,,,,A,a,,public-civic-resources
010f532a-460a-43eb-82c0-232aa3f26666,Great Clips (Bashas),,,,,A,a,,health-wellness-care
ca3975af-50f3-49ab-b1e8-630c5c8a4870,Great Clips (Shops at Lake Havasu),,,,,A,a,,health-wellness-care
