entity_id,provider_name,bucket,cause,proposed_leaf,confidence,note
93eaa280-0ed1-4ee8-8bc8-d3cc5ea2034d,5 Dollar Holler,A,a,shuttles-and-transportation,high,web: $5 zone shuttle/taxi service
526ef6f6-fe89-4d40-bb20-1c40025b77c2,A & E Auto Glass,A,a,auto-glass,high,name_rule (already proposed)
0554ecfd-1a9f-4afc-871d-749fa5613f0b,AAA Rousse Junk Removal,A,a,junk-removal-and-hauling,high,name_rule (already proposed)
e4b85b2f-2024-4fff-9e67-5b0f1b6f6d77,Accounting Angels,A,a,accountants-and-tax,high,name
5ab7d105-2d8c-4e50-af3b-49466214d7c7,Advanced Animal Care,A,a,veterinarians,high,name (animal care = vet)
841508dc-e059-411a-b1bd-745eec75d11c,Advantage Windshield & Glass,A,a,auto-glass,high,name_rule (already proposed)
d4c20d69-6c05-435c-9391-ae83f4902544,All In 1 Services,A,a,handyman,med,generic services name; could be general-contractors
c22b3af2-30fa-4179-b11b-aba70db25db9,Alpine Plumbing & Air,A,a,plumbing,high,name (plumbing lead; also HVAC)
ef0a432e-a06c-49a1-ad67-1d464de29f4e,Apollo PowerScreens,A,a,shade-screens-and-patio-covers,high,web: motorized retractable patio screens
6b1aa622-ccc0-44f3-b278-ba47974efb89,Arizona Awning & Shade LLC,A,a,shade-screens-and-patio-covers,high,name_rule (already proposed)
9fea5d48-ca34-4a48-8a1b-b6507877df11,Arizona Coast Ear Nose & Throat (Audiology),A,a,hearing-and-audiology,high,name_rule (already proposed)
191939b9-4281-44d8-9cc7-051d1cf38db7,Arizona Living Rentals & Property Management,A,a,property-management,high,name_rule (already proposed)
c87460c3-da16-4e44-a1b1-c6d4e7146d5e,Arizona MVD - Lake Havasu City,A,a,government-and-mvd,high,name
04ae46cd-38fa-421f-a99c-8fabbe0bb68a,AZ Toy Brokers - Lake Havasu,A,a,golf-carts,high,web: golf-cart dealer
1010ae16-3be5-4f73-b6ac-4646a0d56fbe,Barnacle Bills Boat Repairs,A,a,boat-repair-and-service,high,name
77856e81-7424-4776-ab6f-258fe729f27f,Bri & Co. Hair Studio,A,a,hair-salons-and-barbers,high,name
20e03483-473c-40e2-ab51-9b37afc7dfcb,California Dermatology Institute,A,a,dermatology-and-skin,high,CORRECTION: CC auto-proposed primary-care from google type=doctor; name says Dermatology
2e2d2eaa-6a14-4654-bbef-7dae6ecdb976,Call Us Junk Hauling,A,a,junk-removal-and-hauling,high,name_rule (already proposed)
1a5a5779-52c6-4270-ab4f-061223ebbd6f,CELIE.CO,A,a,,review,"opaque; google type=manufacturer, dept auto-rv-fuel — needs local ID"
44c91ccf-454e-4386-b2fd-2c309a98f884,Complete Acctg and Tax,A,a,accountants-and-tax,high,name
19d09ecb-d537-4d4b-b8ed-433a53496eb5,Copper Canyon Realty,A,a,real-estate,high,name
f6f83eac-f400-4575-b2f1-4231574efe56,Desert Hawks RC Club,A,a,,review,RC (radio-control) hobby club — no clean leaf (hobby-and-craft? nonprofit?); your call
9e1e25a6-2c61-470e-a485-5853c69d3bfc,Full Arch Dental Implant Center,A,a,dentists-and-orthodontists,high,name
22cb223f-02e7-495c-aca9-9bfbd554ad5e,Glass Doctor of Lake Havasu City,A,a,auto-glass,med,dept auto-rv-fuel; Glass Doctor also does home glass
ea57eb64-1757-4efc-9610-8919531c1026,Go Lake Havasu (CVB),A,a,,review,the CVB/aggregator itself — consider DEACTIVATE (not a normal listing)
010f532a-460a-43eb-82c0-232aa3f26666,Great Clips (Bashas),A,a,hair-salons-and-barbers,high,name
ca3975af-50f3-49ab-b1e8-630c5c8a4870,Great Clips (Shops at Lake Havasu),A,a,hair-salons-and-barbers,high,name
689c507f-ab91-44c2-83c3-415ed0009967,Hangar 24 Lake Havasu,A,a,bars-and-breweries,high,brewery (google type bar_and_grill)
