entity_id,name,leaf_slug,proposed_website,url_type,confidence,action,note
79d9db9f-8729-4fe5-871b-b195abd857c5,Bliss Beauty Lounge,day-spas-and-massage,https://www.facebook.com/Blissbeautyloungelhc/,facebook,high,apply,1939 N McCulloch Blvd
e424556c-1992-4418-8130-a84846f2553f,Chasing Rays Body Spa,day-spas-and-massage,https://www.instagram.com/chasing_rays_bodyspa/,instagram,high,apply,in Eight Lotus Wellness
ce7df45a-c7f9-4000-96d6-2c38bf6f9322,Divine Salon and Spa,day-spas-and-massage,https://www.facebook.com/divinesalon928/,facebook,high,apply,divineskincarehavasu.com is a separate biz — not used
2292c6e1-fb64-4ff2-ac49-979f587941d4,Lash and Mane Beauty Lounge,day-spas-and-massage,https://www.instagram.com/lashmanebeauty/,instagram,high,apply,2125 McCulloch Blvd
e22a184f-9f71-4bf2-b6ab-e256c3ddf273,Robsnrg bodyworks and massage,day-spas-and-massage,https://www.vagaro.com/robsnrgmassageandbodyworks,website,high,apply,own Vagaro booking site
eb6e077f-cb41-4f5c-bb15-f9cfb494c09f,Serene wellness & Beauty spa,day-spas-and-massage,https://www.instagram.com/serenespa_lhc/,instagram,high,apply,1947 McCulloch Blvd N
e4a7654b-7e74-4614-9b4e-41cad2c3c5c6,21 Glam Ave Beauty Lounge,hair-salons-and-barbers,https://www.facebook.com/21glamave/,facebook,high,apply,2121 Swanson Ave
17b93105-11ee-4a9f-a3ae-52c4b61388fd,Beauty By Heidi Marie,hair-salons-and-barbers,https://www.facebook.com/beautybyheidimarie/,facebook,high,apply,3006 London Bridge Rd
2411adc2-efd9-426f-b584-38f625aced4b,Env Salon,hair-salons-and-barbers,https://envhairsalon.com/,website,high,apply,own site (EnV Hair Salon)
cf497440-a47d-4a62-9b89-6af47679d430,Ethereal Beauty Bar,hair-salons-and-barbers,https://www.instagram.com/ethereal_beauty_bar_lhc/,instagram,high,apply,60 Acoma S
6e18c6ef-e50a-4211-bed4-88e24f741890,Frank Ineffable Barber,hair-salons-and-barbers,https://www.instagram.com/ineffable_barber_shop/,instagram,high,apply,1600 W Acoma Blvd
8a094bbd-36cd-4910-b825-6b140548f65d,Grease and Glamour Garage,hair-salons-and-barbers,https://www.instagram.com/greaseandglamourgarage/,instagram,high,apply,37 Querio Dr
ce2ebb54-948f-476e-8154-c87299d4a1e4,Hair Cartel,hair-salons-and-barbers,https://www.facebook.com/p/The-Hair-Cartel-100063520121557/,facebook,high,apply,
