department,dept_slug,renderable,place_type_excl,miss_website,pct_website,miss_hours,pct_hours,miss_address,pct_address,miss_phone,pct_phone
Home & Property Services,home-and-property-services,358,0,125,35,358,100,52,15,34,9
Beauty & Personal Care,beauty-and-personal-care,171,0,78,46,171,100,1,1,20,12
On the Water,on-the-water,79,15,12,19,79,100,23,29,5,8
Tattoo & Piercing,tattoo,17,0,8,47,17,100,0,0,1,6
Things to Do & Attractions,things-to-do-and-attractions,133,74,9,15,132,99,24,18,11,19
"Fitness, Sports & Classes",fitness-and-wellness,49,0,9,18,49,100,5,10,8,16
Family & Education,family-and-education,48,0,6,12,48,100,6,12,9,19
"Auto, RV & Fuel",auto-rv-and-marine,341,0,96,28,341,100,13,4,35,10
Pets,pets,47,0,17,36,47,100,1,2,2,4
Shopping & Retail,shopping-and-retail,244,0,71,29,244,100,2,1,17,7
Health & Medical,health-and-medical,316,0,95,30,316,100,1,0,8,3
Lodging,lodging,57,0,10,18,57,100,1,2,7,12
City & Government,city-and-government,28,0,2,7,28,100,1,4,5,18
Eat & Drink,eat-and-drink,262,0,49,19,262,100,3,1,22,8
Worship & Nonprofits,worship-and-nonprofits,68,0,12,18,68,100,0,0,6,9
Professional & Financial,professional-and-financial,253,0,34,13,253,100,7,3,13,5
