cluster_id,relationship_type,reason,role,proposed_action,provider_id,provider_name,address,phone,google_place_id,review_count,verified,slug
1,parent_child,a member name extends the parent with a person/department,child,keep (child) + set parent_provider_id,35005de5-5881-4295-9c4c-8ee639a21a09,Bradley Ford of Lake Havasu City Parts,"1690 Industrial Blvd, Lake Havasu City, AZ 86403, USA",(928) 855-1191,ChIJdxg8jfPt0YARDjR3C8LHR8U,1,False,bradley-ford-of-lake-havasu-city-parts
1,parent_child,a member name extends the parent with a person/department,child,keep (child) + set parent_provider_id,d07ed830-4599-40a0-94ea-374fa06b05e3,Bradley Ford of Lake Havasu City Collision,"1690 Industrial Blvd, Lake Havasu City, AZ 86403, USA",(928) 855-1191,ChIJYUpMzEbt0YAREbJ4culw7Fg,0,False,bradley-ford-of-lake-havasu-city-collision
1,parent_child,a member name extends the parent with a person/department,primary,keep (parent),def3389b-e583-4f35-9017-4cdd051fa12a,Bradley Ford of Lake Havasu City,"1690 Industrial Blvd, Lake Havasu City, AZ 86403, USA",(928) 855-1191,ChIJ0y-JGOzt0YARo3gczBGRp04,693,False,bradley-ford-of-lake-havasu-city
1,parent_child,a member name extends the parent with a person/department,child,keep (child) + set parent_provider_id,fa5881d6-8f1d-472f-8057-d69947d08305,Bradley Ford of Lake Havasu City Service,"1690 Industrial Blvd, Lake Havasu City, AZ 86403, USA",(928) 855-1191,ChIJBeEVI-zt0YARgTZ5eT5-v2s,16,False,bradley-ford-of-lake-havasu-city-service
2,parent_child,a member is an amenity located 'at' the parent venue,child,keep (child) + set parent_provider_id,c349c689-0f67-4d1d-b0df-cb82c7356a40,HEAT Bar,"1420 McCulloch Blvd N, Lake Havasu City, AZ 86403, USA",(928) 854-2833,ChIJ_U6I4tzt0YARHU_2QffrvJs,6,False,heat-bar
2,parent_child,a member is an amenity located 'at' the parent venue,primary,keep (parent),89fee1b1-d3b2-43d6-b05d-4983bf7bf58c,Heat Hotel,"1420 McCulloch Blvd N, Lake Havasu City, AZ 86403, USA",(928) 854-2833,ChIJGxEBHp3t0YARfxQHRgcAur4,406,False,heat-hotel
2,parent_child,a member is an amenity located 'at' the parent venue,child,keep (child) + set parent_provider_id,dcf29203-209a-45d8-88da-f61873d8289e,HEAT Bar @ The HEAT Hotel,"1420 McCulloch Blvd N, Lake Havasu City, AZ 86403",(928) 854-2833,,0,False,heat-bar-the-heat-hotel
3,parent_child,a member is an amenity located 'at' the parent venue,child,keep (child) + set parent_provider_id,eaf99e3e-28d5-4f69-8e7e-26f7175e8d6c,Lions Dog Park @ London Bridge Beach,"1340 McCulloch Blvd N, Lake Havasu City, AZ 86403",(928) 453-8686,,0,False,lions-dog-park-london-bridge-beach-3
3,parent_child,a member is an amenity located 'at' the parent venue,primary,keep (parent),0f706cb9-5eb8-4f04-ab3e-eb6795008268,London Bridge Beach,"1340 McCulloch Blvd N, Lake Havasu City, AZ 86403, USA",(928) 453-8686,ChIJoYwE2nft0YARrf32lEIA2zo,3033,False,london-bridge-beach
3,parent_child,a member is an amenity located 'at' the parent venue,child,keep (child) + set parent_provider_id,8633d846-b0ab-469f-8bd9-69972133aa7d,Lions Dog Park,"1340 McCulloch Blvd N, Lake Havasu City, AZ 86403, USA",(928) 453-8686,ChIJexoI1Hft0YARblpu6PprJRM,945,False,lions-dog-park
4,parent_child,a member name extends the parent with a person/department,primary,keep (parent),81434a97-d874-4d96-9079-d98beefe8612,Albertsons,"1980 McCulloch Blvd N, Lake Havasu City, AZ 86403, USA",(928) 854-5300,ChIJdyrBVoft0YARo4DtfqKCrjc,1328,False,albertsons
4,parent_child,a member name extends the parent with a person/department,child,keep (child) + set parent_provider_id,db1c3c9c-2cf3-4721-b5bb-f049b36dcd84,Albertsons Deli,"1980 McCulloch Blvd N, Lake Havasu City, AZ 86403, USA",(928) 854-5300,ChIJZzTFX4Pt0YARemkwgeLtwV0,38,False,albertsons-deli
5,multi_location,same name at multiple distinct addresses,sibling,keep (sibling) + share location_group_id,245f6a43-112f-48ae-a5da-ba320da53c8d,Beautiful Beards Pet Spaw,"3269 Maricopa Ave # 106, Lake Havasu City, AZ 86406, USA",(928) 505-1777,ChIJN-UVPFzz0YARCMzLPP9K_2o,5,False,beautiful-beards-pet-spaw
5,multi_location,same name at multiple distinct addresses,primary,keep (primary) + share location_group_id,bca96d16-e57a-4a1b-9439-1f2fcca0c279,Beautiful Beards Pet Spaw,"2163 Birch Square E, Lake Havasu City, AZ 86403, USA",(928) 505-1777,ChIJC6O3Kevz0YAR8pljRhUf7o8,54,False,beautiful-beards-pet-spaw-2
6,parent_child,a member is an amenity located 'at' the parent venue,child,keep (child) + set parent_provider_id,905816c4-2e00-4de9-aaa6-be86dfdb6c21,Bridgewater Links Golf Course at the London Bridge Resort,"1477 Queens Bay, Lake Havasu City, AZ 86403",(928) 855-4777,,0,False,bridgewater-links-golf-course-at-the-london-bridge-resort
6,parent_child,a member is an amenity located 'at' the parent venue,primary,keep (parent),dcedad15-d9c0-4b80-ad46-e118bdc5778f,Bridgewater Links Golf Course,"1477 Queens Bay, Lake Havasu City, AZ 86403, USA",(928) 855-4777,ChIJg_o86YLt0YARAacOa3HOFEE,245,False,bridgewater-links-golf-course
7,duplicate,same business (name/address/phone/slug-family match),clone,retire -> merged_into primary (is_active=False),385afc1e-ccfc-4039-93a7-800e0b95c57b,Circle K | Gas Station,"1731 Industrial Blvd, Lake Havasu City, AZ 86403, USA",(928) 680-5679,ChIJnXAqxSTt0YAReKjZH34ubmI,1,False,circle-k-gas-station-2
7,duplicate,same business (name/address/phone/slug-family match),primary,keep (primary),9c9f9ce8-0969-4b4b-b71a-dc2adb1c3323,Circle K,"1731 Industrial Blvd, Lake Havasu City, AZ 86403, USA",(928) 680-5679,ChIJTaIWf-7t0YARzLMP3f0uHC0,45,False,circle-k
8,duplicate,same business (name/address/phone/slug-family match),primary,keep (primary),b0820e2a-d48b-491b-ae14-543eccb0952f,Circle K,"1791 Kiowa Ave, Lake Havasu City, AZ 86403, USA",(928) 453-8762,ChIJVSEhZ-Tt0YARhhVnyKH2ed0,36,False,circle-k-3
8,duplicate,same business (name/address/phone/slug-family match),clone,retire -> merged_into primary (is_active=False),f6cb4dbd-3457-41ed-91fd-933b820c717c,Circle K | Gas Station,"1791 Kiowa Ave, Lake Havasu City, AZ 86403, USA",(928) 453-8762,ChIJvb508ePt0YARyn5T0gIm2HM,10,False,circle-k-gas-station-3
9,duplicate,same business (name/address/phone/slug-family match),primary,keep (primary),2f89e946-1b06-4a50-be50-f06e24979825,Dairy Queen Grill & Chill,"3195 Maricopa Ave, Lake Havasu City, AZ 86406, USA",(928) 680-4417,ChIJ_yGIo0_y0YARYC6y1fw6Atg,818,False,dairy-queen-grill-chill
9,duplicate,same business (name/address/phone/slug-family match),clone,retire -> merged_into primary (is_active=False),e8e8949a-0eb8-4d4a-bf3c-c3e787d353db,Dairy Queen,"3195 Maricopa Ave, Lake Havasu City, AZ 86406",(928) 680-4417,,0,False,dairy-queen
10,duplicate,same business (name/address/phone/slug-family match),clone,retire -> merged_into primary (is_active=False),2265966f-9e44-42b0-9068-dbda94c3d428,Denny's,"1620 McCulloch Blvd N, Lake Havasu City, AZ 86403",(928) 855-4776,,0,False,denny-s
10,duplicate,same business (name/address/phone/slug-family match),primary,keep (primary),529c8a53-49bd-4ff8-aeab-732fb499d5ff,Denny's Restaurant,"1620 McCulloch Blvd N, Lake Havasu City, AZ 86403, USA",(928) 855-4776,ChIJkxFKm4Tt0YAR0d4sNRD5uyQ,1847,False,denny-s-restaurant
11,duplicate,same business (name/address/phone/slug-family match),clone,retire -> merged_into primary (is_active=False),0d7d7828-7186-4a78-969e-2f45702b96f0,The Foundry Plates & Spirits,210 Swanson Ave,(928) 302-1504,,0,False,the-foundry-plates-spirits
11,duplicate,same business (name/address/phone/slug-family match),primary,keep (primary),cf251fd5-2c9d-4016-9e4a-66cff0945940,Foundry,"210 Swanson Ave, Lake Havasu City, AZ 86403, USA",(928) 302-1504,ChIJAUfofW3t0YARIMhuPYaDSL8,320,False,foundry
12,parent_child,a member is an amenity located 'at' the parent venue,primary,keep (parent),223138cd-ef79-4dfe-afe8-0273adf02ae0,Havasu Lanes,"2128 McCulloch Blvd N, Lake Havasu City, AZ 86403",(928) 855-2695,ChIJz2RVy33y0YAReHTpSw13aTY,463,False,havasu-lanes
