name,type,website,facebook_url,address,schedule_found,schedule_url,notes
Anytime Fitness,gym,https://www.anytimefitness.com/locations/lake-havasu-city-arizona-1077/,https://www.facebook.com/havasu.anytimefitness.3/,62 Lake Havasu Ave,none-website,,"24/7 gym; NO class grid anywhere (site, WellnessLiving stub, directories — checked 6/3/26); office hours all 'Closed' during ownership transition; visitor pass $15/day $40/wk; $0-enroll promo exp 6/14/26; FB sweep queued"
Iron Age Gym,gym,http://ironagegym.com/,https://www.facebook.com/ironagehavasu/,1880 Commander Dr #B,website-partial,https://iron-age-gym.gymdesk.com/,"24h gym; no group classes; Gymdesk portal: Day Care M-Sa 7-9a & 9-11a (wk of 6/1/26 marked closed for equipment delivery); passes $15/$40/$60; membership $75/mo ($115 single mo)"
Planet Fitness,gym,https://www.planetfitness.com/gyms/lake-havasu-city-az,https://www.facebook.com/Planet.Fitness.1755McCullochBlvdNLakeHavasuCityAZ/,1755 McCulloch Blvd N,js-only,https://www.planetfitness.com/gyms/lake-havasu-city-az,"hours 24h Mon-Thu, Fri close 9p, Sa-Su 7a-7p; Classic $15/mo, Black Card $24.99 ($1 promos exp 6/12/26); PE@PF free small-group classes exist but 'Show Schedule' is JS-only — browser sweep or PF app"
Chris Padgett Fitness,personal training,https://chrispadgettfitness.com/,https://www.facebook.com/chrispadgettfitness/,2169 Chaparral Dr,none-appointment,,"1-on-1 + small-group tiers (Squad/Crew/Force/League) with no published days/times/prices; first session free; diet plan $49/mo; site current (c) 2026"
Heart and Sole Fitness & Wellness,fitness studio,http://heartandsolefit.com/,https://www.facebook.com/heartandsolefit/,3175 Rustler Dr,none-appointment,https://stephanieunderconstruction.com/workwithstephanie/,"appointment PT/coaching via Calendly; biz hrs M-F 5a-7p Sa 5a-5p; no group classes; page content dated 2023"
The Athletic Advantage,sports training,https://theathleticadvantage.net/,https://www.facebook.com/61577320225860/,1880 Commander Dr,none-appointment,,"numeric FB id; verify on first sweep; PT by appointment inside Iron Age Gym; Jeff Smith 928-208-5968; no schedule/prices on site"
Soul Lifting (Certified Personal Training),personal training,https://www.soulifting.com/,https://www.facebook.com/souliftingcoaching/,45 Capri Blvd,not-launched,,"re-verified 6/4/26: classes still NOT launched ('will be adding' w/ new trainer Fiore Molteni); by appointment only; NOTE Fiore also runs Fiore's Endorphin Factory (own row); brochure PDF image-only dated 11/24"
Amalaya Yoga,yoga,http://www.amalayayoga.com/,https://www.facebook.com/p/Amalaya-yoga-100088708795858/,1963 McCulloch Blvd N #101,website,https://www.amalayayoga.com/schedule,"FULL weekly grid captured 6/3/26 via rendered Momence widget: Mon Inferno 6-7a + HotFusion 8:30-9:30a + AmalayaHotYoga 4-5p + Inferno 5:30-6:30p + NonHeated MatPilates 7-8p ($20); Tue AmalayaHotYoga 6-7a + Sculpt 8:30-9:30a + GentleStretch 10-11a ($25) + Inferno 4-5p + AmalayaHotYoga 5:30-6:30p + Inferno 7-8p; Wed Inferno 6-7a + HotFusion 8:30-9:30a + Sculpt 4-5p + Inferno 5:30-6:30p + HotFusion 7-8p; Thu Sculpt 6-7a + Inferno 8:30-9:30a + GentleStretch 10-11a ($25) + Inferno 4-5p + BeginnersHotYoga 5:30-6:30p ($5) + Inferno 7-8p; Fri AmalayaHotYoga 6-7a + HotFusion 8:30-9:30a + HotMatPilates 4-5p + HotMatPilates 6-7p; Sat AmalayaHotYoga 8:30-9:30a + Inferno 10-11a; Sun SundayReset 11a-12p ($25); drop-in $30 unless noted"
Align and Define Pilates,pilates,,,62 Lake Havasu Ave,none,,no website or FB found; no website/FB found anywhere
Pilates of Lake Havasu,pilates,http://www.pilatesoflakehavasu.com/,,460 Sunfield Dr,none-appointment,https://www.wellnessliving.com,"no FB found; private (or virtual) sessions only $70; 75-min initial consult; Karen Santo 808-895-8002; WellnessLiving booking; no group classes (verified 6/3/26)"
