entity_id,name,type,website,facebook_url,address
11dcb6c9-8301-4860-ac22-d56c0e06feb7,Angie's Line Dance Class,line dancing,,https://www.facebook.com/angieslinedanceclass,unknown
bad6d1a2-f4ff-44d4-9fa8-76526470b0f2,Aqua Beginnings,swim school,https://aquabeginnings.com/,,private heated pool (residential)
203617c9-b6d8-4a35-9d95-90dfb21a0f6c,Ballet Havasu,ballet school (nonprofit),https://www.ballethavasu.org/,https://www.facebook.com/ballethavasu,2735 Maricopa Ave (inside The Dance Center)
200f4416-0136-4b0d-a1c4-044a3664ce1b,Bella Faccia Movement Studio,yoga/pilates reformer,https://bellafacciaskincare.com/,,1695 Mesquite Ave #102
089d4da8-dc74-48db-b5c1-c00886f76c12,Desert Bloom Learning Center,homeschool enrichment,https://www.desertbloomlearningcenter.com/,,2170 Havasupai Blvd
be9e1db7-ad99-41df-886c-be153f5f6831,Driftwood Acres Equine Center,riding lessons/camps,https://www.driftwoodacresequinecenter.com/,https://www.facebook.com/driftwoodacresequestrian,1807 Aztec Rd
35fcab51-bf9a-4cf9-ac98-816ce54d95d9,Eight Lotus Center for Wellness,yoga/pilates/tai chi,https://www.8lotuswellness.com/,https://www.facebook.com/lovelightgratitude,231 Swanson Ave Ste 208-210
d1497e49-e534-4a8b-bf89-3736c41db97c,Flips For Fun Gymnastics,gymnastics,https://www.fffhavasu.com/,https://www.facebook.com/p/Flips-For-Fun-Gymnastics-100063725552710,955 Kiowa Blvd Units 2-3
9f975f64-1457-486b-b0d3-1f0205fe1274,GraceArts LIVE Youth Theatricals,youth theater,https://graceartslive.com/,https://www.facebook.com/GraceArtsLive,2146 McCulloch Blvd N
b54943a9-8cf2-44c9-ac26-91b74f87eb15,HavaLife CPR,CPR/first aid classes,https://havalifecpr.com/,,LHC
3f176dad-f839-47e7-ab51-f40a3f608133,Havasu Art Guild,art workshops,https://www.havasuartguild.com/,,LHC (est. 1978)
506a1e38-c7e6-412e-ba1d-1d3c816a4e31,Havasu Horseback Rides,riding lessons,https://www.havasuhorsebackrides.com/,,LHC + Yucca locations
c86f1829-db59-4f1b-815e-52d6908315c4,Havasu Lions FC (Lake Havasu Soccer),youth soccer,https://www.havasulions.com/,https://www.facebook.com/havasulions,PO Box 1749 (city fields)
cf054425-7fb8-4e88-9608-27885a3e8ea8,Havasu Pilates Studio,reformer pilates,https://havasupilates.com/,,address — research
637afcc2-9588-4202-9a27-6cbfcefcae98,Havasu Shaolin Kempo (American School of Shao-Lin Kempo),kempo/kung fu/tai chi,http://shao-linkempo.com/havasu.php,https://www.facebook.com/ASSKHavasu,2127 McCulloch Blvd N
98a4c54e-4969-4a81-a40b-0c562b150b1c,Havasu Stingrays Swim Team,swim team,https://www.gomotionapp.com/team/azhsaz/page/home,https://www.facebook.com/HavasuStingrays/,100 Park Ave
88f9ab7a-0c3b-4eea-bea4-ecef90f7db19,Havasu Stitchers Quilt Guild,quilt guild,https://www.havasustitchers.com/,https://www.facebook.com/havasustitchers,meets at Quality Inn 271 S Lake Havasu Ave
b106a233-b6c6-4414-9e2d-c7c1381ecdc3,Kaizen Golf & Fitness,golf instruction,https://kaizengolffitness.com/,https://www.facebook.com/kaizengolffitness,3275 N Latrobe Dr
2ebaaf2c-393a-4f81-bcde-919ded2f1ff9,Kids Activities Studio,kids classes,,,
7014af35-9c50-491e-97c1-267711dd7444,Lake Havasu Chiefs Youth Football & Cheer,youth football/cheer,https://lakehavasuyouthfootball.sportngin.com/,https://www.facebook.com/LakeHavasuChiefs,LHC
30e87ac6-5cb2-49ad-b6c2-effe8cd6ebc4,Lake Havasu City Pickleball Association,pickleball club,https://lakehavasupickleball.com/,,Dick Samp Park (16 courts) + Aquatic Ctr indoor
34a98d8a-65e3-4016-9f80-9b407ec08e0b,Lake Havasu Little League,youth baseball,https://www.lakehavasulittleleague.net/,https://www.facebook.com/lakehavasulittleleague,SARA Park fields
4e86e9ec-8f21-45e7-bb3a-f1c2ceed5962,LHC Parks & Recreation Programs,city rec umbrella,https://www.lhcaz.gov/parks-recreation/programs-activities,https://www.facebook.com/LHCAZGOV,100 Park Ave
1f354159-5352-4904-abaf-60b741d391a5,Marlene Arden Voice Lessons,voice lessons,https://marlenearden.com/voice-lessons,https://www.facebook.com/marlenearden7,3376 Kiowa Blvd S (home studio)
376286f6-06ce-4eed-a96f-48915db96043,Marsh Dance Studios,dance/line dancing,,https://www.facebook.com/p/MARSH-DANCE-STUDIOS-100063614438855,4195 Challenger Dr
f225ca72-0e3e-44b1-9bd9-5cdb34171697,Mohave Community College Lake Havasu Campus,community education,http://mohave.edu/,,1977 W Acoma Blvd
6e0955f7-ff48-4785-897f-fa3894913027,Next Generation Mixed Martial Arts,BJJ/Muay Thai/kickboxing,,https://www.facebook.com/people/Next-Generation-Mixed-Martial-Arts/100069035588311,1697 Mesquite Ave
e518a0b4-b46a-4096-b767-0cda7aad4bac,Sew What,fabric shop classes,,,LHC — research address
946cb13f-b075-4708-8c73-8a78f924f03b,Soul Lifting (Certified Personal Training),personal training,https://www.soulifting.com/,https://www.facebook.com/souliftingcoaching/,45 Capri Blvd
6d035f70-ada9-47a1-a4e2-dc34e991f044,Steelhead Aquatics (Candis' Swim Lessons),swim lessons,,https://www.facebook.com/SteelheadAquatics,mobile/in-home
136ac352-bd9b-43e9-976a-f59cacd88a02,Trinity Mixed Martial Arts,MMA/Muay Thai/Hapkido/BJJ,https://www.trinitymixedmartialartshavasu.com/,,address unknown — research
310966b7-42ab-4855-8d53-2bcc62cde852,WACKO Canoe & Kayak Outfitters,kayak tours/classes,http://www.azwacko.com,,422 English Village
1bee349f-d380-4425-b28c-e11993e7da8a,Windy Hills Pottery and Art Studio,pottery/art classes,http://windyhillsartstudio.com/,https://www.facebook.com/p/Windy-Hills-Pottery-and-Art-Studio-100030412011408,2781 Anita Ave
